l.p;ADO;EF;MSSQL
379;19;37;2
380;13;33;2
381;13;29;2
382;13;39;2
383;19;32;2
384;13;31;4
385;13;37;3
386;14;33;2
387;13;34;2
388;12;29;3
389;13;32;2
390;19;42;2
391;13;31;2
392;15;47;2
393;15;38;2
394;13;32;4
395;13;29;2
396;13;33;2
397;14;31;2
398;13;34;2
399;14;43;2
400;15;36;2
401;14;33;3
402;12;28;2
403;12;32;2
404;13;32;3
405;18;37;2
406;15;39;2
407;14;33;2
408;21;40;2
409;14;29;2
410;12;32;2
411;16;45;2
412;14;35;2
413;13;35;2
414;14;33;3
415;14;36;7
416;14;28;2
417;13;33;2
418;15;39;2
419;16;33;2
420;13;35;3
421;13;28;2
422;15;43;2
423;12;30;2
424;13;39;2
425;13;35;2
426;15;39;3
427;13;37;2
428;13;36;2
429;15;65;2
430;15;32;2
431;12;31;2
432;13;33;2
433;15;33;2
434;12;35;2
435;13;29;2
436;13;43;2
437;15;30;3
438;13;32;3
439;14;47;3
440;15;36;2
441;13;36;2
442;13;33;2
443;24;72;2
444;18;87;2
445;14;51;7
446;19;52;7
447;32;58;5
448;20;44;2
449;14;31;10
450;12;32;2
451;17;38;7
452;12;34;4
453;14;32;4
454;13;39;5
455;20;51;3
456;14;31;3
457;14;49;5
458;31;60;4
459;26;74;3
460;41;68;2
461;18;61;4
462;22;45;2
463;14;34;2
464;17;48;2
465;19;31;4
466;14;32;2
467;12;33;2
468;13;40;2
469;13;36;2
470;13;38;4
471;14;43;2
472;13;29;2
473;12;77;2
474;34;39;2
475;16;46;3
476;19;58;3
477;28;41;2
478;29;48;2
479;22;54;2
480;18;35;3
481;13;29;3
482;12;42;2
483;17;35;2
484;12;29;2
485;13;32;3
486;17;30;2
487;13;35;2
488;16;39;2
489;15;38;2
490;18;65;2
491;19;40;2
492;24;60;2
493;15;31;2
494;14;34;2
495;14;37;2
496;14;30;2
497;12;37;2
498;12;34;2
499;21;45;2
500;15;40;2
501;17;45;3
502;21;78;2
503;18;41;2
504;17;49;2
505;16;28;2
506;12;35;2
507;38;140;3
508;47;35;2
509;20;31;2
510;14;31;2
511;13;35;2
512;13;33;2
513;18;34;2
514;12;29;2
515;12;45;2
516;22;90;2
517;38;56;2
518;31;52;2
519;15;32;2
520;13;39;2
521;43;48;2
522;14;35;2
523;16;40;2
524;15;35;6
525;12;36;2
526;13;31;3
527;18;42;2
528;14;29;2
529;13;32;2
530;13;45;2
531;37;98;2
532;17;72;2
533;17;31;2
534;12;36;2
535;24;94;2
536;33;43;2
537;20;49;2
538;15;37;2
539;13;41;2
540;41;51;2
541;14;34;2
542;14;31;2
543;15;46;2
544;13;31;2
545;14;34;2
546;13;47;3
547;18;32;2
548;27;56;2
549;67;90;2
550;24;91;2
551;53;78;4
552;31;52;2
553;18;51;2
554;23;84;2
555;23;63;2
556;20;63;2
557;25;56;2
558;28;69;2
559;36;53;2
560;21;108;2
561;27;47;2
562;35;70;2
563;25;56;2
564;36;60;2
565;28;51;2
566;36;63;2
567;24;58;2
568;22;40;2
569;26;102;2
570;51;54;2
571;14;33;2
572;14;42;3
573;16;31;2
574;12;80;2
575;141;71;2
576;15;48;3
577;13;30;2
578;18;36;2
579;14;41;2
580;21;35;2
581;13;46;2
582;15;47;2
583;17;34;2
584;15;35;2
585;13;36;2
586;13;40;2
587;14;38;13
588;12;48;2
589;33;64;2
590;19;56;2
591;26;44;2
592;13;31;2
593;13;34;2
594;14;52;3
595;20;38;2
596;14;30;2
597;16;45;2
598;17;34;2
599;14;38;2
600;13;32;2
601;14;45;3
602;13;38;2
603;13;30;2
604;13;41;2
605;16;41;2
606;13;39;2
607;16;31;2
608;21;34;2
609;12;34;2
610;12;29;2
611;15;44;2
612;16;29;2
613;12;34;2
614;13;60;2
615;29;40;2
616;14;40;2
617;16;36;2
618;16;35;2
619;13;29;2
620;13;33;2
621;15;36;2
622;14;32;2
623;13;35;2
624;14;32;2
625;13;43;2
626;13;30;3
627;15;39;2
628;13;58;2
629;26;65;2
630;21;75;2
631;24;44;2
632;15;75;2
633;21;33;2
634;14;36;2
635;13;30;2
636;15;43;2
637;13;39;3
638;14;44;3
639;19;61;10
640;14;44;3
641;17;39;3
642;20;51;2
643;13;32;2
644;13;36;2
645;19;39;2
646;14;44;3
647;12;28;2
648;13;31;2
649;19;32;2
650;12;30;2
651;13;35;3
652;13;29;2
653;17;41;3
654;13;29;3
655;14;32;4
656;13;35;3
657;17;39;3
658;13;36;3
659;13;29;4
660;15;46;12
661;13;29;3
662;12;31;3
663;12;29;3
664;14;44;3
665;15;36;2
666;13;29;2
667;13;34;2
668;21;38;2
669;14;35;2
670;12;30;2
671;13;52;2
672;19;41;2
673;17;40;2
674;20;39;2
675;18;38;2
676;14;33;3
677;14;31;2
678;20;32;2
679;12;36;2
680;15;34;2
681;16;37;3
682;15;31;2
683;14;32;2
684;13;31;2
685;18;40;2
686;20;39;2
687;14;34;2
688;14;41;2
689;16;29;2
690;13;32;2
691;13;41;2
692;17;43;2
693;14;35;2
694;12;28;2
695;12;38;2
696;14;31;2
697;12;32;2
698;12;29;3
699;20;49;2
700;13;38;2
701;13;29;3
702;13;37;2
703;15;32;2
704;12;31;2
705;12;31;2
706;20;51;2
707;14;35;2
708;13;30;2
709;12;34;7
710;21;42;2
711;13;31;2
712;13;29;2
713;12;36;2
714;14;37;2
715;12;30;2
716;16;36;2
717;15;38;2
718;13;31;2
719;13;29;2
720;12;31;2
721;13;39;2
722;12;32;2
723;16;38;2
724;13;37;6
725;14;34;4
726;13;29;3
727;12;33;2
728;15;61;2
729;12;37;2
730;14;35;2
731;12;37;3
732;20;35;4
733;12;28;3
734;13;39;2
735;16;38;2
736;15;33;2
737;14;37;2
738;13;32;2
739;15;33;2
740;12;30;2
741;13;32;2
742;15;39;2
743;18;64;2
744;59;122;2
745;35;32;2
746;12;39;2
747;18;30;2
748;12;31;2
749;13;38;2
750;21;44;2
751;13;33;3
752;12;31;2
753;12;34;2
754;14;31;2
755;13;70;2
756;57;134;3
757;13;27;3
758;12;39;3
759;15;30;2
760;15;39;2
761;13;31;2
762;14;40;2
763;13;36;2
764;13;29;2
765;13;33;2
766;16;38;2
767;40;91;2
768;25;81;3
769;22;32;2
770;12;34;2
771;12;42;16
772;16;36;2
773;12;29;2
774;12;33;2
775;17;38;2
776;14;31;3
777;13;36;2
778;13;41;2
779;15;39;2
780;13;29;2
781;13;31;2
782;14;35;2
783;14;33;2
784;15;38;2
785;14;41;2
786;16;42;2
787;22;37;2
788;12;47;2
789;13;42;2
790;13;37;2
791;18;45;2
792;21;38;2
793;13;44;2
794;13;29;2
795;13;35;2
796;14;30;2
797;13;30;2
798;13;41;2
799;14;36;2
800;15;34;2
801;13;31;3
802;13;33;2
803;16;38;2
804;12;36;2
805;17;41;2
806;13;39;2
807;20;34;2
808;12;29;2
809;13;31;2
810;13;39;2
811;15;40;2
812;13;37;2
813;17;32;2
814;14;36;2
815;12;28;2
816;12;32;2
817;15;32;2
818;15;31;2
819;12;36;2
820;13;31;2
821;14;41;2
822;13;29;2
823;12;32;2
824;17;48;2
825;20;42;2
826;17;48;3
827;26;67;2
828;21;36;2
829;12;29;2
830;16;41;2
831;14;36;2
832;13;30;2
833;13;38;2
834;14;30;2
835;12;31;2
836;13;34;2
837;14;36;2
838;14;38;2
839;13;29;2
840;13;33;2
841;14;33;2
842;13;39;2
843;28;43;2
844;23;56;2
845;21;48;2
846;32;44;2
847;16;35;2
848;13;29;2
849;13;36;2
850;18;33;2
851;12;31;3
852;12;36;2
853;15;40;2
854;14;37;2
855;13;29;3
856;12;34;2
857;16;32;2
858;13;32;2
859;14;53;2
860;13;37;2
861;17;34;2
862;14;29;2
863;14;33;2
864;13;34;2
865;14;32;2
866;13;37;2
867;13;33;2
868;21;49;3
869;15;29;2
870;12;31;2
871;15;34;2
872;16;31;2
873;13;35;2
874;13;30;3
875;21;44;2
876;12;29;3
877;13;33;2
878;12;37;2
879;15;32;2
880;12;37;2
881;13;30;2
882;14;39;2
883;17;31;2
884;13;32;2
885;14;31;3
886;14;47;2
887;13;35;2
888;13;29;2
889;13;51;2
890;17;29;2
891;12;31;2
892;13;29;2
893;16;38;2
894;16;49;2
895;16;35;2
896;18;40;2
897;13;32;6
898;15;44;2
899;22;45;2
900;15;36;2
901;15;42;3
902;16;48;2
903;18;38;2
904;14;36;2
905;15;44;2
906;17;35;2
907;14;35;2
908;13;41;2
909;26;49;2
910;14;33;2
911;12;28;2
912;13;36;2
913;18;38;2
914;15;33;2
915;12;35;2
916;18;34;2
917;17;40;2
918;18;38;4
919;14;35;2
920;13;39;2
921;14;35;2
922;15;43;2
923;23;39;2
924;13;36;2
925;14;30;2
926;15;45;3
927;17;31;2
928;15;36;2
929;14;51;2
930;19;36;2
931;14;38;2
932;26;43;2
933;20;35;2
934;16;29;2
935;13;33;2
936;21;39;3
937;13;29;4
938;13;33;2
939;13;31;2
940;20;33;2
941;13;29;2
942;13;31;2
943;12;43;2
944;14;28;2
945;13;36;2
946;12;29;2
947;15;39;2
948;14;30;2
949;13;33;2
950;13;43;2
951;24;41;3
952;15;34;2
953;12;39;2
954;18;36;2
955;12;28;2
956;13;30;2
957;12;37;2
958;15;35;2
959;13;33;2
960;12;28;2
961;13;35;3
962;14;30;2
963;13;32;2
964;13;36;2
965;13;32;2
966;15;37;2
967;13;35;2
968;13;33;2
969;17;31;2
970;12;33;2
971;14;36;2
972;13;34;2
973;19;47;2
974;13;34;2
975;15;35;2
976;20;44;4
977;13;31;2
978;13;36;2
979;15;37;2
980;17;33;2
981;12;29;2
982;12;36;2
983;17;33;2
984;16;35;2
985;15;45;4
986;16;37;3
987;13;32;3
988;12;28;3
989;13;33;8
990;19;44;4
991;15;33;3
992;13;38;3
993;13;42;2
994;18;33;2
995;13;31;2
996;14;44;2
997;23;39;2
998;13;32;2
999;12;35;2
1000;19;32;2
