l.p;ADO;EF;MSSQL
396;9;9;3
397;9;9;3
398;9;9;3
399;9;9;3
400;9;8;3
401;11;10;3
402;11;9;5
403;11;9;5
404;10;9;3
405;10;10;3
406;11;10;3
407;14;10;3
408;16;11;3
409;13;10;3
410;10;13;3
411;10;9;3
412;9;9;3
413;9;9;3
414;13;13;3
415;30;11;3
416;11;9;3
417;12;10;3
418;11;11;3
419;11;13;3
420;17;11;3
421;10;10;3
422;10;9;3
423;13;10;3
424;13;15;3
425;14;16;3
426;15;10;3
427;10;9;3
428;10;9;3
429;9;9;3
430;10;9;3
431;23;11;3
432;12;9;3
433;9;9;3
434;9;10;3
435;14;16;3
436;10;9;3
437;13;10;3
438;13;10;3
439;9;9;3
440;9;9;3
441;9;9;3
442;9;10;3
443;10;9;3
444;13;10;3
445;12;10;3
446;10;14;3
447;10;9;3
448;11;9;3
449;10;9;3
450;10;11;3
451;21;11;3
452;10;9;3
453;10;9;3
454;10;9;3
455;10;10;3
456;10;9;3
457;14;10;3
458;12;9;3
459;9;9;3
460;10;10;3
461;10;9;3
462;10;9;3
463;10;9;3
464;14;11;3
465;11;9;3
466;10;14;4
467;11;9;4
468;10;9;4
469;13;9;4
470;13;11;3
471;13;9;3
472;10;10;3
473;11;9;3
474;9;9;3
475;9;9;3
476;9;9;3
477;14;9;3
478;13;10;3
479;12;11;3
480;16;11;3
481;15;11;3
482;14;11;3
483;20;14;3
484;16;9;3
485;13;10;3
486;13;10;3
487;12;11;3
488;25;10;3
489;16;10;3
490;12;9;3
491;18;9;3
492;12;9;3
493;18;25;3
494;17;12;3
495;27;11;4
496;13;10;3
497;14;23;3
498;41;12;3
499;18;12;3
500;16;12;3
501;12;10;3
502;19;14;5
503;15;13;5
504;14;10;3
505;14;11;4
506;10;12;3
507;15;9;3
508;12;9;3
509;14;10;3
510;11;10;3
511;13;11;3
512;12;10;14
513;13;9;14
514;9;9;6
515;9;9;6
516;10;9;7
517;10;9;7
518;10;9;8
519;9;11;8
520;13;12;6
521;9;9;6
522;9;9;6
523;14;16;6
524;12;9;5
525;10;9;5
526;10;11;5
527;12;10;5
528;13;12;3
529;16;10;3
530;9;9;3
531;11;13;3
532;21;16;4
533;15;12;4
534;14;10;3
535;18;10;3
536;15;12;3
537;15;16;3
538;16;10;4
539;13;11;4
540;14;11;3
541;16;10;3
542;19;13;3
543;15;10;3
544;15;11;3
545;13;10;3
546;18;15;3
547;28;12;3
548;19;11;3
549;24;14;3
550;34;16;4
551;35;17;4
552;22;17;3
553;12;11;3
554;65;18;3
555;16;11;3
556;10;10;3
557;17;11;3
558;33;16;3
559;14;10;3
560;13;13;12
561;26;11;12
562;12;10;3
563;12;10;3
564;16;18;4
565;13;10;4
566;12;11;3
567;15;12;3
568;13;19;4
569;20;13;4
570;15;12;3
571;19;9;3
572;11;9;4
573;10;10;4
574;27;14;3
575;16;14;3
576;11;10;3
577;11;11;3
578;20;16;3
579;18;10;3
580;10;10;3
581;12;11;3
582;15;10;3
583;17;12;3
584;22;15;3
585;13;13;3
586;15;13;3
587;16;12;3
588;27;21;3
589;18;10;3
590;15;14;3
591;17;10;3
592;39;11;3
593;17;16;3
594;15;9;4
595;14;10;4
596;21;15;3
597;20;11;3
598;12;12;3
599;15;12;3
600;14;12;3
601;23;10;3
602;12;9;5
603;12;9;5
604;9;9;3
605;10;10;3
606;10;9;4
607;13;11;4
608;14;9;3
609;10;9;4
610;10;10;3
611;10;10;4
612;10;9;3
613;12;11;3
614;19;15;3
615;16;11;3
616;14;10;3
617;16;12;3
618;17;13;3
619;25;13;3
620;19;13;3
621;16;11;3
622;14;11;3
623;22;14;3
624;19;14;3
625;16;11;3
626;14;12;3
627;15;12;3
628;24;12;3
629;16;16;3
630;14;9;3
631;15;12;3
632;15;13;3
633;21;19;3
634;15;10;3
635;19;12;3
636;17;14;3
637;27;16;3
638;14;10;3
639;16;14;3
640;10;10;4
641;11;9;4
642;9;11;3
643;27;12;3
644;18;13;3
645;17;12;3
646;16;12;3
647;21;14;3
648;24;12;3
649;21;20;3
650;16;9;3
651;29;20;3
652;18;14;3
653;19;12;3
654;18;14;4
655;21;16;4
656;20;12;3
657;18;11;3
658;16;11;3
659;16;12;4
660;21;17;3
661;16;12;3
662;17;14;3
663;17;15;3
664;19;13;3
665;25;15;3
666;17;11;3
667;11;10;3
668;13;10;5
669;19;23;5
670;12;9;3
671;10;9;3
672;11;9;3
673;9;11;3
674;16;9;3
675;19;12;3
676;10;10;3
677;12;10;3
678;14;9;3
679;10;10;3
680;9;11;3
681;14;10;3
682;15;11;3
683;11;10;3
684;11;9;3
685;13;9;3
686;14;10;3
687;12;16;3
688;16;12;12
689;10;9;12
690;10;9;3
691;10;10;3
692;9;9;3
693;11;11;3
694;11;13;3
695;14;10;3
696;11;11;3
697;11;11;3
698;12;9;3
699;12;11;3
700;32;17;3
701;31;13;3
702;29;16;4
703;17;9;4
704;14;10;3
705;13;10;3
706;23;11;4
707;31;17;4
708;13;12;3
709;13;10;3
710;11;10;3
711;17;14;3
712;16;10;3
713;10;9;3
714;13;9;3
715;11;9;3
716;12;9;3
717;13;14;3
718;15;16;3
719;11;10;3
720;12;9;4
721;13;23;4
722;17;11;3
723;22;14;4
724;12;16;3
725;14;10;3
726;10;10;3
727;20;9;3
728;14;10;8
729;13;11;8
730;16;11;3
731;35;10;3
732;16;10;3
733;19;10;3
734;15;10;3
735;12;9;3
736;15;9;4
737;15;18;4
738;17;9;3
739;10;9;3
740;11;15;3
741;12;9;3
742;14;19;3
743;14;11;3
744;10;9;3
745;10;11;3
746;10;9;3
747;10;9;3
748;9;10;3
749;17;12;3
750;11;10;3
751;13;9;3
752;10;9;3
753;11;10;3
754;11;15;3
755;20;12;3
756;14;10;3
757;10;9;3
758;13;10;3
759;13;9;3
760;14;10;3
761;16;13;3
762;13;9;3
763;12;9;3
764;10;12;3
765;12;10;3
766;21;13;5
767;16;11;5
768;9;9;6
769;13;10;6
770;13;10;5
771;14;10;5
772;20;9;3
773;15;9;3
774;10;9;3
775;12;11;3
776;10;9;3
777;11;10;3
778;16;10;4
779;14;9;4
780;10;9;3
781;10;9;3
782;10;9;3
783;10;9;3
784;15;13;3
785;13;9;3
786;11;9;3
787;10;9;3
788;10;9;3
789;13;9;3
790;14;12;3
791;29;11;3
792;10;9;4
793;10;9;5
794;14;9;3
795;16;10;3
796;13;12;3
797;18;14;3
798;11;10;3
799;13;9;3
800;10;9;4
801;11;12;4
802;18;9;4
803;13;11;5
804;15;10;3
805;9;9;3
806;15;10;3
807;36;10;3
808;10;10;3
809;12;11;3
810;10;9;3
811;12;12;3
812;13;11;3
813;19;12;3
814;10;10;3
815;11;9;3
816;9;10;3
817;18;10;3
818;36;13;3
819;19;11;3
820;15;13;3
821;16;9;3
822;25;23;3
823;18;12;3
824;13;9;3
825;12;9;3
826;12;24;3
827;49;29;3
828;16;16;3
829;23;16;3
830;27;22;3
831;11;13;3
832;12;9;3
833;12;10;3
834;16;16;3
835;14;12;3
836;13;10;3
837;11;11;3
838;10;12;3
839;13;11;3
840;13;13;3
841;13;10;3
842;21;13;3
843;15;10;3
844;14;10;3
845;20;9;3
846;18;14;3
847;11;9;3
848;14;10;4
849;15;13;4
850;20;16;3
851;18;10;3
852;13;9;3
853;10;9;3
854;11;10;3
855;12;14;3
856;35;14;3
857;16;10;3
858;12;9;4
859;12;9;4
860;13;12;3
861;17;18;3
862;12;11;4
863;13;11;4
864;14;11;3
865;15;11;3
866;25;11;3
867;11;11;3
868;15;11;4
869;11;9;4
870;15;14;3
871;28;12;4
872;18;13;3
873;17;16;3
874;12;9;3
875;13;10;3
876;16;11;3
877;15;13;3
878;9;9;3
879;13;11;3
880;13;14;10
881;14;11;11
882;28;12;7
883;18;11;7
884;14;11;7
885;59;51;7
886;46;11;6
887;26;19;6
888;54;16;6
889;31;19;6
890;34;86;6
891;24;14;6
892;36;11;6
893;13;9;6
894;10;10;5
895;12;10;5
896;12;9;5
897;10;9;5
898;14;10;5
899;15;10;5
900;15;11;6
901;14;10;6
902;11;10;7
903;10;9;7
904;14;13;6
905;15;14;6
906;13;10;6
907;10;9;6
908;11;9;6
909;10;9;6
910;15;9;6
911;16;9;6
912;12;10;6
913;12;11;6
914;10;9;6
915;10;9;6
916;13;12;6
917;14;10;6
918;10;8;7
919;10;9;7
920;11;9;6
921;12;10;6
922;17;72;6
923;32;13;6
924;29;18;6
925;26;10;6
926;15;11;7
927;16;28;7
928;24;17;12
929;25;11;12
930;21;11;10
931;16;12;10
932;56;16;16
933;17;10;16
934;10;10;6
935;10;11;6
936;11;9;6
937;10;10;6
938;14;10;6
939;16;9;6
940;10;9;6
941;11;9;6
942;9;10;7
943;12;10;7
944;12;13;5
945;16;11;5
946;10;10;5
947;13;9;5
948;10;10;6
949;10;9;6
950;14;14;6
951;14;10;6
952;15;10;6
953;13;10;6
954;10;9;5
955;10;9;5
956;14;12;3
957;14;10;3
958;146;25;3
959;25;15;4
960;23;15;3
961;22;59;3
962;71;13;3
963;88;20;3
964;16;11;3
965;13;10;3
966;14;12;3
967;25;12;4
968;11;9;5
969;14;14;5
970;10;11;3
971;17;13;3
972;15;10;3
973;12;10;3
974;13;9;3
975;14;9;3
976;10;9;3
977;17;9;3
978;16;10;3
979;12;10;3
980;15;10;3
981;12;12;3
982;10;9;3
983;15;9;3
984;14;12;3
985;13;9;3
986;10;9;3
987;10;10;3
988;11;10;4
989;12;13;4
990;17;10;3
991;12;10;3
992;11;13;3
993;15;9;3
994;11;9;3
995;15;9;3
996;19;10;3
997;12;9;3
998;12;9;3
999;12;9;3
1000;12;9;3
